日期,部门,平台,子平台,成交金额,目标金额
2026/5/21,常温,京东,pop,4.87,4.87
2026/5/21,常温,京东,自营,96.85,100.0
2026/5/21,常温,天猫,猫旗,6.3,6.3
2026/5/21,常温,天猫,猫超,38.47,38.47
2026/5/21,常温,拼多多,拼多多,10.08,22.0
2026/5/22,常温,抖音,抖音,21.5,20.21
2026/5/22,常温,京东,pop,5.94,5.95
2026/5/22,常温,京东,自营,88.93,100.0
2026/5/22,常温,天猫,猫旗,5.6,5.6
2026/5/22,常温,天猫,猫超,27.06,27.06
2026/5/22,常温,拼多多,拼多多,9.63,21.0
2026/5/23,常温,抖音,抖音,24.96,22.68
2026/5/23,常温,京东,pop,7.87,7.88
2026/5/23,常温,京东,自营,82.98,100.0
2026/5/23,常温,天猫,猫旗,4.97,4.97
2026/5/23,常温,天猫,猫超,27.5,27.5
2026/5/23,常温,拼多多,拼多多,10.14,22.0
2026/5/24,常温,抖音,抖音,25.52,23.18
2026/5/24,常温,京东,pop,9.06,9.06
2026/5/24,常温,京东,自营,71.05,100.0
2026/5/24,常温,天猫,猫旗,5.11,5.11
2026/5/24,常温,天猫,猫超,20.51,20.51
2026/5/24,常温,拼多多,拼多多,10.85,22.0
2026/5/25,常温,抖音,抖音,25.52,21.24
2026/5/25,常温,京东,pop,11.17,11.17
2026/5/25,常温,京东,自营,68.99,90.0
2026/5/25,常温,天猫,猫旗,6.12,6.12
2026/5/25,常温,天猫,猫超,17.7,17.7
2026/5/25,常温,拼多多,拼多多,16.5,27.0
2026/5/26,常温,抖音,抖音,68.19,62.97
2026/5/26,常温,京东,pop,8.14,8.13
2026/5/26,常温,京东,自营,77.76,120.0
2026/5/26,常温,天猫,猫旗,4.78,4.78
2026/5/26,常温,天猫,猫超,19.3,19.3
2026/5/26,常温,拼多多,拼多多,14.81,26.0
2026/5/27,常温,抖音,抖音,52.14,30.0
2026/5/27,常温,京东,pop,7.97,9.0
2026/5/27,常温,京东,自营,94.83,120.0
2026/5/27,常温,天猫,猫旗,6.36,6.25
2026/5/27,常温,天猫,猫超,24.46,18.0
2026/5/27,常温,拼多多,拼多多,10.73,25.0
2026/5/28,低温,京东,pop,1.56,1.7
2026/5/28,低温,京东,自营,31.19,16.6
2026/5/28,低温,天猫,猫旗,6.49,2.5
2026/5/28,低温,天猫,猫超,0.47,0.4
2026/5/28,低温,抖音,抖音,6.91,8.5
2026/5/28,低温,拼多多,拼多多,3.74,3.2
2026/5/28,八喜,京东,pop,1.03,3.3
2026/5/28,八喜,京东,自营,66.29,30.0
2026/5/28,八喜,天猫,猫旗,106.59,50.0
2026/5/28,八喜,天猫,猫超,3.06,2.3
2026/5/28,八喜,抖音,抖音,5.47,2.5
2026/5/28,八喜,拼多多,拼多多,0.26,0.19
2026/5/28,奶粉,京东,pop,0.08,0.17
2026/5/28,奶粉,京东,自营,12.88,17.26
2026/5/28,奶粉,天猫,猫旗,5.03,1.4
2026/5/28,奶粉,抖音,抖音,17.73,6.1
2026/5/28,奶粉,拼多多,拼多多,1.79,1.75
2026/5/28,常温,京东,pop,4.22,8.5
2026/5/28,常温,京东,自营,82.81,90.0
2026/5/28,常温,天猫,猫旗,5.65,7.0
2026/5/28,常温,天猫,猫超,23.43,17.0
2026/5/28,常温,抖音,抖音,59.99,30.0
2026/5/28,常温,拼多多,拼多多,10.02,26.0
2026/5/13,常温,新零售,新零售,63.43,27.5
2026/5/14,常温,新零售,新零售,62.44,27.0
2026/5/15,常温,新零售,新零售,24.89,34.7
2026/5/16,常温,新零售,新零售,15.17,45.6
2026/5/17,常温,新零售,新零售,32.63,42.1
2026/5/18,常温,新零售,新零售,45.99,31.0
2026/5/19,常温,新零售,新零售,6.08,29.0
2026/5/20,常温,新零售,新零售,36.79,24.3
2026/5/21,常温,新零售,新零售,58.79,29.6
2026/5/22,常温,新零售,新零售,58.79,25.3
2026/5/23,常温,新零售,新零售,38.16,39.6
2026/5/24,常温,新零售,新零售,5.09,42.1
2026/5/25,常温,新零售,新零售,1.21,31.4
2026/5/26,常温,新零售,新零售,11.28,33.0
2026/5/27,常温,新零售,新零售,75.62,32.9
2026/5/28,常温,新零售,新零售,41.94,31.3
2026/5/13,低温,新零售,新零售,51.8,51.79
2026/5/14,低温,新零售,新零售,66.71,70.0
2026/5/15,低温,新零售,新零售,69.85,74.0
2026/5/16,低温,新零售,新零售,95.02,99.0
2026/5/17,低温,新零售,新零售,70.59,75.0
2026/5/18,低温,新零售,新零售,49.58,53.0
2026/5/19,低温,新零售,新零售,53.7,57.0
2026/5/20,低温,新零售,新零售,45.26,48.0
2026/5/21,低温,新零售,新零售,66.73,70.0
2026/5/22,低温,新零售,新零售,58.67,62.0
2026/5/23,低温,新零售,新零售,78.21,83.0
2026/5/24,低温,新零售,新零售,53.9,58.0
2026/5/25,低温,新零售,新零售,46.87,50.0
2026/5/26,低温,新零售,新零售,54.58,52.8
2026/5/27,低温,新零售,新零售,48.18,51.0
2026/5/28,低温,新零售,新零售,63.72,67.0
2026/5/13,常温,拼多多,多多买菜,11.39,0.0
2026/5/14,常温,拼多多,多多买菜,13.08,0.0
2026/5/15,常温,拼多多,多多买菜,7.63,0.0
2026/5/16,常温,拼多多,多多买菜,10.61,0.0
2026/5/17,常温,拼多多,多多买菜,7.81,0.0
2026/5/18,常温,拼多多,多多买菜,12.77,0.0
2026/5/19,常温,拼多多,多多买菜,7.85,0.0
2026/5/20,常温,拼多多,多多买菜,10.44,0.0
2026/5/21,常温,拼多多,多多买菜,11.49,0.0
2026/5/22,常温,拼多多,多多买菜,9.34,0.0
2026/5/23,常温,拼多多,多多买菜,10.75,0.0
2026/5/24,常温,拼多多,多多买菜,7.09,0.0
2026/5/25,常温,拼多多,多多买菜,11.96,0.0
2026/5/26,常温,拼多多,多多买菜,7.83,0.0
2026/5/27,常温,拼多多,多多买菜,10.44,0.0
2026/5/28,常温,拼多多,多多买菜,12.34,0.0
2026/5/13,常温,小程序及其他,小程序及其他,2.2,3.75
2026/5/14,常温,小程序及其他,小程序及其他,2.2,3.75
2026/5/15,常温,小程序及其他,小程序及其他,2.2,3.75
2026/5/16,常温,小程序及其他,小程序及其他,5.66,3.75
2026/5/17,常温,小程序及其他,小程序及其他,5.66,3.75
2026/5/18,常温,小程序及其他,小程序及其他,5.66,3.75
2026/5/19,常温,小程序及其他,小程序及其他,5.66,3.75
2026/5/20,常温,小程序及其他,小程序及其他,5.66,3.75
2026/5/21,常温,小程序及其他,小程序及其他,5.66,4.75
2026/5/22,常温,小程序及其他,小程序及其他,5.66,5.75
2026/5/23,常温,小程序及其他,小程序及其他,14.32,4.75
2026/5/24,常温,小程序及其他,小程序及其他,14.32,3.75
2026/5/25,常温,小程序及其他,小程序及其他,14.54,3.75
2026/5/26,常温,小程序及其他,小程序及其他,14.54,3.75
2026/5/27,常温,小程序及其他,小程序及其他,0.55,22.75
2026/5/28,常温,小程序及其他,小程序及其他,0.55,3.75
2026/5/29,低温,京东,pop,1.66,1.7
2026/5/29,低温,京东,自营,30.72,16.3
2026/5/29,低温,天猫,猫旗,6.16,2.0
2026/5/29,低温,天猫,猫超,0.4,0.4
